Product ID,Customer ID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Quantity,Price,Discount,Profit,Order Year,Customer Name,Country,Category,Sub-Category
OFF-SU-10004664,NC-18535,9076,CA-2014-145254,23/7/2014,27/7/2014,Standard Class,5,40.7,0.0,11.8,2014,Nick Crebassa,United States,Office Supplies,Supplies
TEC-MA-10000418,NC-18535,8873,CA-2017-149881,1/4/2017,3/4/2017,First Class,2,4799.984,0.2,360.0,2017,Nick Crebassa,United States,Technology,Machines
FUR-CH-10001797,NC-18535,8591,CA-2014-114321,20/8/2014,25/8/2014,Standard Class,13,500.24,0.0,145.07,2014,Nick Crebassa,United States,Furniture,Chairs
OFF-BI-10000201,NC-18535,7748,CA-2017-148355,24/12/2017,28/12/2017,Standard Class,5,12.3,0.0,6.15,2017,Nick Crebassa,United States,Office Supplies,Binders
OFF-PA-10001972,NC-18535,6170,CA-2017-148355,24/12/2017,28/12/2017,Standard Class,3,19.44,0.0,9.33,2017,Nick Crebassa,United States,Office Supplies,Paper
OFF-BI-10000088,NC-18535,4899,CA-2017-163874,10/11/2017,12/11/2017,Second Class,3,26.352,0.2,9.55,2017,Nick Crebassa,United States,Office Supplies,Binders
TEC-AC-10002167,NC-18535,4558,CA-2014-145254,23/7/2014,27/7/2014,Standard Class,3,45.0,0.0,4.0,2014,Nick Crebassa,United States,Technology,Accessories
FUR-BO-10003894,NC-18535,4436,CA-2017-149881,1/4/2017,3/4/2017,First Class,8,482.664,0.15,85.18,2017,Nick Crebassa,United States,Furniture,Bookcases
TEC-PH-10000441,NC-18535,3956,CA-2014-145254,23/7/2014,27/7/2014,Standard Class,6,604.752,0.2,60.48,2014,Nick Crebassa,United States,Technology,Phones
OFF-BI-10001359,NC-18535,3504,CA-2014-114321,20/8/2014,25/8/2014,Standard Class,1,896.99,0.0,421.59,2014,Nick Crebassa,United States,Office Supplies,Binders
OFF-BI-10000279,NC-18535,2830,CA-2017-139402,9/12/2017,13/12/2017,Standard Class,3,13.005,0.7,-9.97,2017,Nick Crebassa,United States,Office Supplies,Binders
OFF-PA-10004359,NC-18535,2666,CA-2017-139402,9/12/2017,13/12/2017,Standard Class,5,419.4,0.2,146.79,2017,Nick Crebassa,United States,Office Supplies,Paper
TEC-PH-10004531,NC-18535,2529,CA-2014-145254,23/7/2014,27/7/2014,Standard Class,3,302.376,0.2,38.0,2014,Nick Crebassa,United States,Technology,Phones
TEC-AC-10004864,NC-18535,1324,US-2016-131674,29/11/2016,1/12/2016,Second Class,2,58.416,0.2,16.79,2016,Nick Crebassa,United States,Technology,Accessories
OFF-PA-10000246,NC-18535,954,CA-2014-114321,20/8/2014,25/8/2014,Standard Class,2,20.12,0.0,9.26,2014,Nick Crebassa,United States,Office Supplies,Paper
OFF-AR-10001940,JK-15640,9492,CA-2015-137225,15/12/2015,19/12/2015,Standard Class,1,3.28,0.0,1.41,2015,Jim Kriz,United States,Office Supplies,Art
OFF-AP-10003779,JK-15640,8795,CA-2015-143980,25/12/2015,29/12/2015,Standard Class,2,414.96,0.0,124.49,2015,Jim Kriz,United States,Office Supplies,Appliances
TEC-MA-10001148,JK-15640,8383,CA-2017-168109,3/7/2017,3/7/2017,Same Day,6,2395.0,0.2,209.58,2017,Jim Kriz,United States,Technology,Machines
OFF-AR-10001761,JK-15640,7995,US-2015-150231,16/3/2015,20/3/2015,Second Class,3,17.52,0.0,6.31,2015,Jim Kriz,United States,Office Supplies,Art
OFF-PA-10001526,JK-15640,7874,CA-2015-157434,29/4/2015,4/5/2015,Second Class,2,7.968,0.2,2.89,2015,Jim Kriz,United States,Office Supplies,Paper
TEC-PH-10000702,JK-15640,6207,CA-2017-168109,3/7/2017,3/7/2017,Same Day,1,7.992,0.2,2.7,2017,Jim Kriz,United States,Technology,Phones
OFF-PA-10003063,JK-15640,4807,CA-2014-147900,23/9/2014,28/9/2014,Standard Class,9,28.8,0.2,10.08,2014,Jim Kriz,United States,Office Supplies,Paper
OFF-PA-10003441,JK-15640,4692,US-2015-137533,18/12/2015,18/12/2015,Same Day,4,20.736,0.2,7.26,2015,Jim Kriz,United States,Office Supplies,Paper
OFF-FA-10000053,JK-15640,3196,CA-2014-159849,19/9/2014,19/9/2014,Same Day,3,5.67,0.0,0.11,2014,Jim Kriz,United States,Office Supplies,Fasteners
TEC-AC-10003628,JK-15640,2323,CA-2017-168109,3/7/2017,3/7/2017,Same Day,2,59.98,0.0,26.39,2017,Jim Kriz,United States,Technology,Accessories
TEC-AC-10002049,JK-15640,605,CA-2017-168109,3/7/2017,3/7/2017,Same Day,4,1687.8,0.0,743.0,2017,Jim Kriz,United States,Technology,Accessories
OFF-BI-10004230,JK-15640,486,CA-2015-134082,11/12/2015,17/12/2015,Standard Class,4,110.0,0.2,38.68,2015,Jim Kriz,United States,Office Supplies,Binders
FUR-FU-10001852,BS-11365,9969,US-2014-148194,4/5/2014,7/5/2014,First Class,7,12.18,0.0,3.9,2014,Bi 8761l Shonely,United States,Furniture,Furnishings
FUR-FU-10004270,BS-11365,8501,CA-2016-149965,20/6/2016,25/6/2016,Standard Class,3,57.69,0.0,24.0,2016,Bi 8761l Shonely,United States,Furniture,Furnishings
FUR-FU-10000550,BS-11365,8477,US-2016-107440,16/4/2016,20/4/2016,Standard Class,2,9.96,0.0,3.29,2016,Bi 8761l Shonely,United States,Furniture,Furnishings
