Customer ID,Customer Name,email,phone,address,Segment,Country,City,State,Postal Code,Region
PW-19240,Pierre Wener,bettysullivan808@gmail.com,421.580.0902x9815,"001 Jones Ridges Suite 338
Johnsonfort, FL 95462",Consumer,United States,Louisville,Colorado,80027.0,West
GH-14410,Gary567 Hansen,austindyer948@gmail.com,001-542-415-0246x314,"00347 Murphy Unions
Ashleyton, IA 29814",Home Office,United States,Chicago,Illinois,60653.0,Central
KL-16555,Kelly Lampkin,clarencehughes280@gmail.com,7185624866,"007 Adams Lane Suite 176
East Amyberg, IN 34581",Corporate,United States,Colorado Springs,Colorado,80906.0,West
AH-10075,Ad.       ..am Hart,angelabryant256@gmail.com,265.101.5569x1098,"01454 Christopher Turnpike
North Ryanstad, MI 36226",Corporate,United States,Columbus,Ohio,43229.0,East
PF-19165,Philip Fox,kristinereynolds576@gmail.com,001-473-645-2141x9154,"0158 Harris Ways Suite 085
East Laceyside, SD 35649",Consumer,United States,San Diego,California,92105.0,West
SC-20680,Steve Carroll,jasoncontreras178@gmail.com,(563)647-4830x5318,"01630 Tammy Prairie
North Daniel, KS 26404",Home Office,United States,Seattle,Washington,98105.0,West
JR-15700,Jocasta Rupert,johncombs689@gmail.com,-6181,"019 Emily Corner Apt. 810
Ryantown, SC 37010",Consumer,United States,Jacksonville,Florida,32216.0,South
AB-10105,Adrian Barton,daviddavis980@gmail.com,067.435.8553x692,"021 Katherine Mall
Jameston, DC 24685",Consumer,United States,Phoenix,Arizona,85023.0,West
PT-19090,Pete@#$ Takahito,mikaylaarnold666@gmail.com,786.638.6820,"0236 Lane Squares
Port Samantha, ME 15670",Consumer,United States,San Antonio,Texas,78207.0,Central
SG-20605,Speros Goranitis,brianjoyce110@gmail.com,3528465094,"02401 Angela Loop Apt. 678
Port John, ME 43448",Consumer,United States,Lafayette,Indiana,47905.0,Central
MH-17785,Maya Herman,christinasalas345@gmail.com,(722)376-5599x0693,"026 Colon Hill
New Pedromouth, CA 18437",Corporate,United States,San Diego,California,92105.0,West
KB-16240,Karen Bern,christopherperez199@gmail.com,817.409.0760x92195,"026 White Squares
Robertton, VA 78741",Corporate,United States,Odessa,Texas,79762.0,Central
JM-15535,Jessica Myrick,nicholasrussell869@gmail.com,924.484.7935,"02785 Johnson Shore
South Nathan, KY 45544",Consumer,United States,New York City,New York,10035.0,East
JH-16180,Justin Hirsh,kellymartinez374@gmail.com,001-361-720-6500x0984,"0317 Parker Lane
Port Jennifer, OK 19258",Consumer,United States,Philadelphia,Pennsylvania,19140.0,East
CS-12400,Christopher Schild,matthewwilliams637@gmail.com,106-229-5443x7580,"034 Lynch Squares
North Benjaminside, MH 42764",Home Office,United States,Philadelphia,Pennsylvania,19134.0,East
LR-17035,Lisa Ryan,lorimorrow317@gmail.com,(549)707-5809,"035 Cox View Suite 514
East Carlton, VA 31206",Corporate,United States,Santa Clara,California,95051.0,West
TW-21025,Tam&^*ara Willing___)ham,selenajones479@gmail.com,2323700362,"03551 Michael Shore
Lake Barryview, MH 82312",Home Office,United States,Charlottesville,Virginia,22901.0,South
SR-20425,Sharelle Roach,raymondpeck288@gmail.com,897-362-7773,"03958 Shane Lakes
New Jessicatown, AR 78525",Home Office,United States,Louisville,Colorado,80027.0,West
AS-10285,Alejandro Savely,laceymercado410@gmail.com,2167104605,"04225 Lee Manor
Castroville, HI 72528",Corporate,United States,San Francisco,California,94109.0,West
KB-16405,Kat rina Bavinger,michaelwood756@gmail.com,001-347-866-9161x248,"0432 Jennifer Port Suite 897
Johnstad, AR 12201",Home Office,United States,Apple Valley,California,92307.0,West
DW-13480,Dianna Wilson,alejandrobailey724@gmail.com,(432)851-1371x262,"04653 Fischer Valley
East Daltonhaven, MO 31850",Home Office,United States,Lakeville,Minnesota,55044.0,Central
