Customer ID,Customer Name,email,phone,address,Segment,Country,City,State,Postal Code,Region
NC-18535,Nick Crebassa,rebeccamurphy656@gmail.com,#ERROR!,"3071 Mitchell Isle
Wolfberg, MA 17611",Corporate,United States,Hampton,Virginia,23666.0,South
JK-15640,Jim Kriz,kimberlymartin280@gmail.com,3713293549,"30748 Sullivan Isle
Cantrellmouth, AZ 18920",Home Office,United States,San Bernardino,California,92404.0,West
BS-11365,Bi 8761l Shonely,moniquewright318@gmail.com,644-856-0824x5310,"31084 Clark Stream
Lake Joshua, OK 58898",Corporate,United States,New York City,New York,10011.0,East
TS-21610,Troy Staebel,catherinejordan792@gmail.com,919-264-2211x2915,"3114 Tina Place Apt. 482
Paulchester, CO 68975",Consumer,United States,San Francisco,California,94122.0,West
BT-11530,Bradley Talbott,amyharris260@gmail.com,001-107-220-0637,"313 Isaiah Unions Apt. 064
New Brianbury, AR 63079",Home Office,United States,Cleveland,Ohio,44105.0,East
Dl-13600,Dorris liebe,meganmorris562@gmail.com,001-784-020-2849x9856,"315 Thompson Fork
Lisaland, RI 73533",Corporate,United States,Seattle,Washington,98105.0,West
RF-19345,Randy Ferguson,caseygrimes136@gmail.com,001-111-244-1007x03600,"31789 James Branch
Lake Omartown, MH 94419",Corporate,United States,New York City,New York,10024.0,East
CM-11935,Carlos Meador,jessicamarshall263@gmail.com,921.537.2917x8437,"31825 Beck Spring Suite 630
Courtneyfurt, WA 65448",Consumer,United States,Fayetteville,North Carolina,28314.0,South
RB-19795,Ross Baird,amycarter163@gmail.com,291.573.3089x76650,"321 Richard Run Apt. 616
Janemouth, AR 73988",Home Office,United States,Gastonia,North Carolina,28052.0,South
CJ-12010,Caroline Jumper,christophermcdonald139@gmail.com,419.620.5803,"32114 Juarez Mill Apt. 030
Watsonville, WV 40171",Consumer,United States,New York City,New York,10009.0,East
ND-18370,Natalie DeCherney,theresamills300@gmail.com,(639)324-3804x1879,"3271 Taylor Loaf
Meganburgh, PR 03976",Consumer,United States,New York City,New York,10035.0,East
CM-12715,Craig M 876olinari,sandramcmahon670@gmail.com,015-723-6236x8899,"3275 Pitts Ways Apt. 980
North Kennethmouth, KS 89901",Corporate,United States,Huntsville,Texas,77340.0,Central
VM-21835,Vivian Mathis,amyhebert345@gmail.com,523.905.4321x842,"3314 Scott Garden
South Matthewport, WI 67272",Consumer,United States,Boca Raton,Florida,33433.0,South
ER-13855,Elpida Rittenbach,matthewhansen734@gmail.com,617-394-3215x975,"3323 Michael Shoal Suite 641
West Aaron, KY 60136",Corporate,United States,Saint Paul,Minnesota,55106.0,Central
SS-20875,Sung Shariari,stephenwalker680@gmail.com,490.278.1517x7149,"3326 Cody Canyon
North Christinebury, MT 35732",Consumer,United States,Dallas,Texas,75220.0,Central
RR-19525,Rick Reed,paulalee488@gmail.com,000-843-1998x8615,"3328 Nathan Loop Apt. 289
West Maureen, AZ 15656",Corporate,United States,New York City,New York,10035.0,East
HP-14815,Harold Pawlan,andrewfleming450@gmail.com,001-143-692-2582x2942,"33424 Mcdonald Landing Suite 788
Kennethbury, ID 47102",Home Office,United States,New York City,New York,10024.0,East
